Sector,Category,SubCategory,Risk_ID,Risk_Name,Risk_Type,Likelihood,Impact,Risk_Score,Risk_Level,Mitigation_Strategy,Owner,Review_Date
Facilities & Corporate Services,Facilities Management,Security Services,R0165,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0166,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0167,Regulatory Compliance,COMPLIANCE,3,2,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0168,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0169,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0170,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0171,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0172,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0173,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0174,Regulatory Compliance,COMPLIANCE,1,3,3,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Furniture,R0175,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0176,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0177,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0178,Quality Issues,OPERATIONAL,1,3,3,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0179,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0180,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0181,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Office Supplies,R0182,ESG/Sustainability,COMPLIANCE,1,2,2,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0183,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0184,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0185,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0186,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0187,Supplier Financial Stability,FINANCIAL,2,2,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0188,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Office Services,Printing Services,R0189,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0190,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0191,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0192,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0193,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0194,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0195,Regulatory Compliance,COMPLIANCE,2,4,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Business Travel,R0196,ESG/Sustainability,COMPLIANCE,1,2,2,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0197,Supply Chain Disruption,OPERATIONAL,3,3,9,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0198,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0199,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0200,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0201,Supplier Financial Stability,FINANCIAL,1,3,3,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0202,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Travel & Events,Event Management,R0203,ESG/Sustainability,COMPLIANCE,2,2,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0204,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0205,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0206,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0207,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0208,Supplier Financial Stability,FINANCIAL,3,4,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0209,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Beverages,Coffee,R0210,ESG/Sustainability,COMPLIANCE,1,3,3,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0211,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0212,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0213,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0214,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0215,Supplier Financial Stability,FINANCIAL,3,2,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0216,Regulatory Compliance,COMPLIANCE,3,2,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Beverages,Tea,R0217,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0218,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0219,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0220,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0221,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0222,Supplier Financial Stability,FINANCIAL,4,4,16,CRITICAL,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0223,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Cheese,R0224,ESG/Sustainability,COMPLIANCE,2,4,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0225,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0226,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0227,Quality Issues,OPERATIONAL,3,4,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0228,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0229,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0230,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Dairy Products,Milk & Cream,R0231,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0232,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0233,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0234,Quality Issues,OPERATIONAL,1,3,3,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0235,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0236,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0237,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Canola Oil,R0238,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0239,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0240,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0241,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0242,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0243,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0244,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Coconut Oil,R0245,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0246,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0247,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0248,Quality Issues,OPERATIONAL,3,4,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0249,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0250,Supplier Financial Stability,FINANCIAL,1,4,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0251,Regulatory Compliance,COMPLIANCE,2,2,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Olive Oil,R0252,ESG/Sustainability,COMPLIANCE,2,4,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0253,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0254,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0255,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0256,Geopolitical Risk,STRATEGIC,5,4,20,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0257,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0258,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Palm Oil,R0259,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0260,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0261,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0262,Quality Issues,OPERATIONAL,1,3,3,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0263,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0264,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0265,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Peanut Oil,R0266,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0267,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0268,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0269,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0270,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0271,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0272,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Rice Bran Oil,R0273,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0274,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0275,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0276,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0277,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0278,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0279,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Soybean Oil,R0280,ESG/Sustainability,COMPLIANCE,2,2,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0281,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0282,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0283,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0284,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0285,Supplier Financial Stability,FINANCIAL,3,2,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0286,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Edible Oils,Sunflower Oil,R0287,ESG/Sustainability,COMPLIANCE,2,3,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0288,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0289,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0290,Quality Issues,OPERATIONAL,3,2,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0291,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0292,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0293,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Corn/Maize,R0294,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0295,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0296,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0297,Quality Issues,OPERATIONAL,4,2,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0298,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0299,Supplier Financial Stability,FINANCIAL,1,4,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0300,Regulatory Compliance,COMPLIANCE,3,3,9,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Rice,R0301,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0302,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0303,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0304,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0305,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0306,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0307,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Grains & Cereals,Wheat,R0308,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0309,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0310,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0311,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0312,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0313,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0314,Regulatory Compliance,COMPLIANCE,3,2,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Aluminum Cans,R0315,ESG/Sustainability,COMPLIANCE,2,2,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0316,Supply Chain Disruption,OPERATIONAL,1,3,3,LOW,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0317,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0318,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0319,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0320,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0321,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Food-Grade Plastics,R0322,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0323,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0324,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0325,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0326,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0327,Supplier Financial Stability,FINANCIAL,1,4,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0328,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Packaging Materials,Glass Containers,R0329,ESG/Sustainability,COMPLIANCE,2,3,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
